case,seed,state,step,Delta,variant,init_strategy,cut_x,integrated_cut_traction_proxy,cut_band_element_count,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,baseline_integrated_cut_traction_proxy,traction_removed_fraction_vs_baseline,traction_removed_percent_vs_baseline
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.009,7.2578916210375155e-09,15,0.05759159103035927,0.12435844540596008,0.0021379932295531034,0.004570547956973314,3.0076660095801344e-07,0.9758686915438104,97.58686915438103
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.006,2.250100106238051e-09,16,0.014702366665005684,0.04944908246397972,0.0014829557621851563,0.0056092808954417706,9.173727448796853e-07,0.9975472346232249,99.75472346232249
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.007,2.5481441401353777e-09,15,0.01666683331131935,0.03630981594324112,0.002245612908154726,0.008973568677902222,6.803804808441782e-07,0.9962548247460394,99.62548247460394
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.008,3.0772020487290774e-09,14,0.02210092544555664,0.07851681113243103,0.0018227302934974432,0.004835168365389109,5.003938667869079e-07,0.9938504401173256,99.38504401173256
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.009,4.38430980409521e-09,15,0.03469362482428551,0.07602718472480774,0.002305037807673216,0.005176885984838009,3.0076660095801344e-07,0.9854228834247881,98.54228834247881
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.006,5.456744020193582e-06,14,36.39092254638672,79.66140747070312,0.07321502268314362,0.5564863681793213,5.456744020193582e-06,0.0,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.007,5.799577138532186e-06,17,36.17220687866211,85.3032455444336,0.2826814353466034,2.791846752166748,5.799577138532186e-06,0.0,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.008,4.815200554730836e-06,14,40.79502487182617,100.31309509277344,0.3453483581542969,1.89918053150177,4.815200554730836e-06,0.0,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.009,4.985554369341116e-06,15,34.19520568847656,91.74490356445312,0.23328809440135956,2.079798936843872,4.985554369341116e-06,0.0,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.006,1.3120549091638622e-09,14,0.00932195782661438,0.027294637635350227,0.0015687368577346206,0.006236052140593529,5.456744020193582e-06,0.9997595535168393,99.97595535168394
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.007,2.3014250505326572e-09,17,0.01428343914449215,0.106436587870121,0.0020869586151093245,0.008083445020020008,5.799577138532186e-06,0.999603173646016,99.96031736460161
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.008,9.18933262816779e-10,14,0.006940423510968685,0.021307239308953285,0.0007448909454979002,0.003342659678310156,4.815200554730836e-06,0.9998091599192241,99.98091599192242
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.009,1.5050649615488965e-09,15,0.010245297104120255,0.02605685219168663,0.0010621348628774285,0.0033087199553847313,4.985554369341116e-06,0.9996981148233375,99.96981148233375
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.006,2.209374905248751e-09,14,0.016270499676465988,0.04754806309938431,0.0011945618316531181,0.004594540223479271,5.456744020193582e-06,0.9995951111327428,99.95951111327427
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.007,3.886651001039354e-09,17,0.0243022833019495,0.17379187047481537,0.0017096640076488256,0.007161092013120651,5.799577138532186e-06,0.9993298388989058,99.93298388989058
