case,seed,state,step,Delta,variant,cut_x,band_element_count,alpha_mean_in_band,g_alpha_mean_in_band,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,integrated_cut_traction_proxy,traction_removed_fraction_vs_current_split,traction_removed_percent_vs_current_split
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,current_split,0.009,13,0.9005448222160339,0.013298575766384602,2.808278133713671,4.690571249288439,0.01965686251587652,0.05367506109987771,3.005192232322844e-07,0.0,0.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,full_degradation_everywhere,0.006,15,0.933220624923706,0.00871012732386589,0.012641834637351662,0.04573498559114331,0.0014262335374588624,0.009282318759757713,1.8661896780211048e-09,0.998028015277314,99.8028015277314
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,full_degradation_everywhere,0.007,14,0.9450281858444214,0.005629470106214285,0.015582188454752772,0.041578047260914186,0.002013234846376131,0.006808129320336975,2.3626892804754514e-09,0.9968039632322001,99.68039632322001
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,full_degradation_everywhere,0.008,11,0.9505189657211304,0.0033426389563828707,0.016216677399426994,0.030027388237243713,0.0012179191413714855,0.004592581791055983,1.665555564439097e-09,0.9964468913449999,99.64468913449998
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,full_degradation_everywhere,0.009,13,0.9005448222160339,0.013298575766384602,0.02923419546844695,0.058999338127733836,0.002263280531696319,0.009270418680546122,3.133389152057532e-09,0.9895734152432719,98.95734152432719
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,0.006,15,0.933220624923706,0.00871012732386589,0.012641834637351662,0.04573498559114331,0.0014262335374588624,0.009282318759757713,1.8661896780211048e-09,0.998028015277314,99.8028015277314
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,0.007,14,0.9450281858444214,0.005629470106214285,0.015582188454752772,0.041578047260914186,0.002013234846376131,0.006808129320336975,2.3626892804754514e-09,0.9968039632322001,99.68039632322001
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,0.008,11,0.9505189657211304,0.0033426389563828707,0.016216677399426994,0.030027388237243713,0.0012179191413714855,0.004592581791055983,1.665555564439097e-09,0.9964468913449999,99.64468913449998
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,0.009,13,0.9005448222160339,0.013298575766384602,0.02923419546844695,0.058999338127733836,0.002263280531696319,0.009270418680546122,3.133389152057532e-09,0.9895734152432719,98.95734152432719
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,0.006,15,0.933220624923706,0.00871012732386589,0.02169436466377261,0.07484144634305512,0.0012277291816271713,0.0077963084997616505,3.16825925015314e-09,0.9966521308565827,99.66521308565827
